Autores,Asesores,Título,Resumen,Año,Institución,Grado
"['Calderon Torrejon, Flavio', 'Boza Quilca, Romel']","['Minauro Latorre, Tomás Alberto']",Plan de negocio para determinar la viabilidad de comercialización de un producto que permita medir los signos vitales de las personas con IoT en la ciudad de Lima,"Implementación de un sistema de monitoreo de los signos vitales mediante el uso de Pulsometros. El cual se enviará la información a através de internet con IoT. Para poder realizar un almacenamiento de información en la nube y esta pueda ser gestionada con la plataforma thingsboard. El cual funcionara como un orquestador de información y monitoreo, pudiendo enviar alertas ante variaciones, detectar patrones de comportamiento y variables de afectación de salud del paciente. De esta manera se podrá predecir causas de enfermedades y verificar si la atención brindada al paciente está funcionando correctamente, pudiendo descartar rechazos por su metabolismo y generar de cambio en base a los datos.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Accho Rojas, Vladimir Braulio', 'Alejandria Niño, Ermes Jean Pierre', 'Gamboa Ayala, Cesar Alejandro', 'Rodriguez Llancaya, Carlos Arturo']","['Moarri Nohra, Richard']","Modelo de implementación del proceso de emisión de los certificados de estudios mediante el uso de la tecnología Blockchain, en las instituciones educativas de gestión pública de la modalidad de educación básica regular del nivel secundaria en Lima Metropolitana","En los últimos años se ha incrementado el número de certificados de estudios de educación básica regular falsificados, tanto como la ausencia de capacidades para comprobar su veracidad, situación asociada a la existencia del mercado ilegal que los oferta y que no solo existe en Perú, sino en toda Latinoamérica. Este documento es importante pues habilita a las personas de acreditar su trayectoria educativa en otras instituciones para seguir con su desarrollo académico y profesional. Esta tesis tiene como alcance diseñar un modelo de implantación de tecnología basada en Blockchain para los certificados de estudios, en beneficio de Instituciones Educativas públicas bajo la modalidad de educación básica regular y de nivel secundaria, en la región Lima Metropolitana; que contribuya con la estrategia cero papeles y permita aumentar la fiabilidad del certificado de estudios. Esta propuesta está alineada con los marcos legales de la Ley de Tratamiento de Datos Personales, la Ley de Firmas y Certificados Digitales, Ley General de Educación y, sobre todo, con la Ley Marco de Modernización de Gestión del Estado. Blockchain tiene el potencial de ofrecer a la comunidad educativa una infraestructura de confianza e inviolable, para certificar, compartir y verificar los logros académicos de los estudiantes.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Tang Arce, Fernando Andres', 'Agapito Almeyda, Henry Segundo', 'Palomino de la Cruz, Enzo Joseph', 'Pacheco Terrazos, Fernando Cesar']","['Serida Nishimura, Jaime']",Plan de negocio para la implementación de una solución tecnológica que proporcione a los pacientes una historia clínica dental única a través de Blockchain,"En el Perú no existe una solución digital donde un paciente pueda encontrar la oferta de servicios dentales que mejor se le acomode de acuerdo a recomendaciones, cercanía y disponibilidad de citas. A esto se le suma que cada vez que un paciente tiene tantas historias clínicas dentales como consultorios haya visitado. Es por ello que se propone un modelo de negocio de doble cara que permita, por un lado, hacer dueño al paciente de una historia clínica dental unificada y por el otro, ofrezca a los dueños de consultorios dentales una solución integral para la gestión de sus consultorios y todo integrado en una misma plataforma digital que conecte pacientes con consultorios dentales.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Bolaños de la Cruz, Maria Petronila', 'Manrique Passara, Manuel Guillermo', 'Ruiz Caceres, Luis Alberto']","['Moarri Nohra, Richard']","Modelo y plan de negocio para la implementación de una plataforma tecnológica “Ranty”, que ofrezca subastas y trueques online utilizando Machine Learning","En ciertas ocasiones nos ha pasado que dejamos de utilizar ciertos productos por diversas razones y los tenemos almacenados ocupando espacio. Es por ello por lo que buscamos alternativas para deshacernos del producto como: venderlo y poder recuperar algo de dinero o intercambiarlo con alguna cosa que sea de nuestro interés; pero difícil encontrar un demandante y terminamos regalándolo o incluso hasta pagando a personas que recolectan productos de segunda mano, con el fin de evitar la contaminación del medio ambiente dichos productos, Sin embargo en algún otro lugar hay personas que están interesadas y buscando el producto que nosotros tenemos y del cual deseamos deshacernos, frente a esta necesidad nace Ranty como “una plataforma tecnológica que ofrece subastas y trueques online usando Machine Learning” que interconectara a diferentes usuarios (oferentes y demandantes) ubicados en diferentes lugares de Lima Metropolitana con preferencias similares de productos de segunda mano, donde los oferentes podrán subastar sus productos obteniendo así un buen precio mediante la puja de los diversos demandantes interesados en dicho producto subastado y aplicando así un modelo de económica colaborativa, fomentando de esta manera un uso sostenible y responsable de productos de segunda mano en beneficio del medio ambiente.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Toledo Sánchez, Luzmila Zenaida', 'Pinto Valcárcel, Rodrigo Javier', 'Esenarro Meza, Francisco', 'De la Riva Agüero Castellanos, Miguel José Luis']","['Cuervo Guzmán, Sergio']",Plan de negocio para la implementación de una plataforma digital de orientación vocacional en la Región de Lima Moderna,"“Orient@-T”, es una plataforma web y móvil que permitirá a los estudiantes de 4to y 5to de secundaria de Lima Moderna, tener una experiencia integral vocacional donde podrán tener a su disposición información vocacional efectiva de diversas fuentes, una aplicación de realidad virtual, orientación profesional de personas inmersas en el campo laboral y capacitadas para la labor orientativa. Todos estos beneficios podrán ser accedidos a través de diferentes paquetes desde los S/599 hasta los S/999, los cuales proveen una flexibilidad en los componentes de los servicios ofrecidos. Así mismo, a través del plan de negocio, se evaluará y analizará la viabilidad económica de “Orient@-T” como una plataforma tecnológica integral de orientación vocacional para los estudiantes respaldado por el plan estratégico, de marketing, de Tecnologías de Información, de Recursos Humanos, de Operaciones y Económico. Finalmente, la presente tesis desarrolla un modelo de negocio digital rentable que actualmente y por el contexto de pandemia viene en crecimiento constante, la sociedad cambió radicalmente su forma de acceder a servicios, los jóvenes estudiantes y su acceso a la orientación vocacional no serán la excepción por lo que nuestra solución tendrá éxito garantizado validado con indicadores que respalden el plan.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Escudero Villanueva, Fernando Manuel', 'De la Cruz Clemente, Idmir Levi', 'Funegra Orbegoso, Renan Jesús Manuel', 'García Chirinos, Alejandro Ángel']","['Serida Nishimura, Jaime']","Plan de negocio para el desarrollo de una empresa que brinde servicio educativo del idioma inglés basado en tecnología de realidad virtual, Inteligencia artificial y Machine Learning","En el Perú hemos evidenciado una falta de capacitación en el idioma inglés a pesar de existir un mercado en educación que genera más de US$ 50 millones de dólares en Lima. Es en este escenario que identificamos una oportunidad de negocio. En esta tesis proponemos un plan de negocio para la creación de IVET por sus siglas en inglés “Innovative Virtual English Tutor” empresa dedicada a la capacitación de idioma inglés con el uso de realidad virtual, inteligencia artificial y machine learning. Nuestra propuesta de valor es una aplicación educativa que permitirá aprender inglés de forma inmersiva con escenarios que propongan al estudiante ciertos retos a superar y lograr aprendizaje. Además, te propondrá una ruta a seguir basado en tus gustos o preferencias y la realización de escenarios y temas en base a las debilidades detectadas en cada evaluación. Este proyecto ha tomado un enfoque de desarrollo híbrido, en la primera etapa del proyecto y para validar la idea se utilizó la metodología Lean Startup y luego un estudio de mercado junto a planes complementarios donde podemos mencionar el de marketing, operaciones, TI, recursos humanos, financiero, etc.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Alvarado Arce, Ellis Arturo', 'Cisneros Onsihuay, Mariela Carolina', 'Inga Borja, Jean Pierre']","['García Sebastiani, Johnny Exequiel']",Plan de negocio para la mejora de la productividad en el fundo agrícola de la empresa Ecological Corporation SAC a través del uso de tecnologías IoT,"El plan de negocio consiste en aplicar diversas tecnologías IoT en un fundo agrícola con la finalidad de controlar y recolectar información y, con la ayuda de un aplicativo web, mostrar reportes y estatus actual del fundo. En el plan se consideran sensores de suelo, para la captura de información de agua y nutrientes de las plantas, válvulas automáticas, que podrán ser controladas remotamente, paneles solares, para la recarga de sensores y dispositivos que enviarán información a la nube, servicio de hosting de software, ya que en el campo no existen servidores ni un área específica de TI, drones, para tener un status preciso del follaje y crecimiento, y un sistema web, donde se mostrará toda la información en forma de reportes para la toma de decisiones y también se podrán controlar las bombas para el regadío. En la actualidad el uso de recursos como el agua y nutrientes se ha vuelto escasa y a la vez muy cara en diversos puntos del país, por ello nuestra solución está diseñada para que pueda ser utilizada en cualquier fundo en donde se cultiven diversos tipos de frutas y vegetales, optimizando el uso de recursos y maximizando la productividad en la empresa.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Aguilar Ruiz, Luis Enrique', 'Cairampoma Villar, Marden Maick', 'Díaz Chirre, Mario Martin', 'Villena Delgado, Elizabeth']","['Serida Nishimura, Jaime']","Plan de negocios para determinar la viabilidad económica financiera de una aplicación para Smartphone que brinde información de negocios, relacionados al cuidado de las mascotas, disponibles en la ciudad de Lima","ePet es una plataforma digital que reúne a dueños de mascotas con proveedores relacionados al cuidado de estas, con el fin de obtener la mejor calidad-precio de productos y servicios que pueda pronoer la oferta en este mercado. Gracias a la economía colaborativa, la App mostrará a diferentes proveedores clasificados en distintas categorías seleccionados por cercanía geográfica y valoración de usuarios además de otros criterios que optimizarán la búsquedam además monitoreal el pedidio vía geolocalización, poder contar con la gestión de una única historia clínica para cada mascota, la cual podrá ser compartida con los especialistas veterinarios en cada atención médica de nuestros engreidos. Control, información y alarma de todas las vacunas correspondientes para mantener sanas a nuestras mascotas, atención vía online de especialistas veterninarios ante emergencias, tener al alcance descuentos, promociones, noticias, tips, eventos, etc. Además de servir como canal digital a los proveedores relacionados al cuidado de mascota con el fin de llegar a nuevos mercados, todo bajo una interfaz intuitiva, amigable y de fácil uso para ambos usuarios: dueños de mascotas y proveedores.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Abanto Chuquilin, Deisy Analí', 'Gómez Orihuela, Eysenck Freddy', 'Luis Ucharima, William', 'Peraldo Rodríguez, Pietro']","['Serida Nishimura, Jaime']",Plan de negocio de una plataforma web de análisis del mercado laboral peruano en tiempo real orientado a las instituciones de capacitación,"En la actualidad existe una brecha entre las habilidades adquiridas por los profesionales y técnicos con aquellas solicitadas en el mercado laboral peruano. Por ello, las instituciones educativas y empresas de capacitación requieren actualizar su oferta educativa constantemente. Para tal fin, utilizan distintos métodos manuales como consulta a expertos, búsqueda por internet, comparación con sus competidores y estudios de mercado, los cuales son costosos y demandan tiempo, resultando inaccesible en muchos casos. Datorch es una solución de análisis de datos SaaS (software as a service) accesible desde computadoras de escritorio y dispositivos móviles que, a través de la recolección y aplicación de técnicas de Big Data a datos recolectados de anuncios laborales publicados en portales web de trabajo, muestra, en una aplicación web amigable, estadísticas, tendencias y gráficas del mercado laboral peruano. El púbico objetivo comprende las instituciones educativas privadas y públicas, así como las empresas de capacitación del departamento de Lima, a las cuales se les brindará, mediante suscripción anual, información relevante con la finalidad de actualizar su oferta educativa y reducir la incertidumbre en la apertura y culminación de sus cursos con éxito.",2022,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
"['Luna Díaz, Kent Yonathan', 'Mendoza Reto, Juan Carlos']","['Santana Ormeño, Martín']",Plan de negocios para la implementación de una startup de una plataforma digital para interoperar el ecosistema de reciclaje que permita la optimización de recojo de residuos mediante el uso de tecnología,"El presente plan de negocios brinda como beneficios la mejora en el proceso de gestión de la recolección de residuos lo que permitirá un manejo eficiente de los costos a las diferentes municipalidades que cuenten con el servicio de nuestra plataforma. El modelo de negocio propuesto generará ingresos mediante una comisión en base a la cantidad de residuos segregados que reciban los municipios desde los hogares o empresas que se comprometan a utilizar el sistema. Es por ello, que los clientes directos de la solución serían las municipalidades de la provincia de Lima y los clientes indirectos: los hogares de cualquier nivel socioeconómico y los negocios de cada distrito, así como los recicladores que contribuyen con este proceso. Respecto a la difusión del servicio se utilizará publicidad en redes sociales con campañas para concientizar a la población en los beneficios del reciclaje y segregado de residuos, así también mediante una página web informativa. Adicionalmente, se proponen campañas de activaciones con apoyo de la municipalidad y personajes representativos del medio. Finalmente, si bien el negocio busca generar rentabilidad, cabe mencionar el afán de contribuir con la preservación ambiental mediante la implementación de la solución tecnológica propuesta.",2021,Universidad ESAN,['Magíster en Dirección de Tecnologías de la Información']
