Autores,Asesores,Título,Resumen,Año,Institución,Grado
"['Reyes Alvarado, Irene Angélica del Carmen', 'Lezama Loza, Hernán Gustavo']","['Corzano Correa, Iván', 'Espejo Villaizan, Daniel Derek']",['Sistema de geolocalización y autenticación biométrica móvil para optimizar\u202fla planificación y gestión\u202fde las actividades\u202fde campo\u202fdel personal de\u202fventas y mantenimiento en el sector construcción'],"Los sistemas de asistencia y gestión de actividades de los colaboradores de campo están en constante evolución y presentan muchos retos, así mismo toda empresa ha puesto un mayor interés por la automatización de procesos o actividades inherentes a estos sistemas, con el fin de dar un uso racional a sus recursos para optimizar la planificación, gestión de actividades y autenticación del colaborador de campo. En consecuencia, el presente trabajo propone el desarrollo de una aplicación móvil que incluye tecnología de verificación biométrica del usuario, herramientas QR y geolocalización, utilizando principalmente las características biométricas de la voz; este sistema considera su aplicación tomando en cuenta la realidad nacional y superando limitaciones de los móviles en cuanto a sensores especializados para autenticación. El proyecto ha logrado con ello una mejora en la gestión del personal que se encuentra fuera de las oficinas, consiguiendo un rendimiento del modelo biométrico del 85.26%, funcionalidades de geolocalización y QR del 98%. Así mismo, el porcentaje de registros erróneos disminuyeron a valores menores al 5.1%, ya que el sistema brinda información fiable de la asistencia, ubicación, duración de actividades y datos relevantes de una empresa del sector construcción; respetando la privacidad y valores éticos. En tal sentido el proyecto hace uso de recientes avances en autenticación biométrica por voz y el aprendizaje profundo sobre la plataforma Android por ser este el sistema operativo de mayor uso en la actualidad.",2022-09-12,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Huaman Cano, Edith Jenny', 'Vera Tuestas, Carlos Enrique']","['Subauste Oliden, Daniel Alejandro']",['Sistema de monitoreo para la reforestación de árboles quinuales usando geolocalización en el distrito de Aquia'],"De acuerdo con el monitoreo del Programa Nacional de Bosques del Ministerio del Ambiente, en Perú se ha perdido 203 mil hectáreas de bosques en el año 2020 que incluye a los árboles quinuales. La plantación de este tipo de árbol conlleva a prevenir la escasez de agua y recuperar las áreas deforestadas, y el cambio climático. Las comunidades que realizan la reforestación de árboles quinuales no tienen información sobre la efectividad de esta actividad, por lo que no realizan el monitoreo adecuado. Por lo anterior, es necesario realizar el seguimiento y control del proceso de reforestación y así contar con información en tiempo real de los procesos claves que permitan la toma de decisiones de manera más eficiente.  

 

En este contexto, el presente proyecto tiene como objetivo implementar una propuesta para el desarrollo de un aplicativo móvil que se encargará de que la comunidad pueda realizar la planificación de la reforestación, la recolección de esquejes, la actividad de reforestación del árbol quinual y, al mismo tiempo, se pueda visualizar el mapa de las áreas reforestadas. La propuesta se realiza tomando como base las actividades claves del proceso de reforestación, considerando que la información fue obtenida mediante entrevistas por audio al presidente de la comunidad. 

 

Como resultado de la automatización se podrá tener un aplicativo móvil desde el cual se podrá tener información para dar solución a las incidencias en el proceso de reforestación. Además, se podrá consultar el resultado de cada actividad y visualizar la ubicación de las áreas reforestadas en tiempo real.",2022-06-29,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Hernández Loli, Néstor']","['Rodríguez Condezo, David Armando']",['Sistema integrado de monitoreo para un operador logístico'],"Este documento de tesis presenta la problemática de un operador logístico que debido a su modelo de negocio tiene la necesidad de subcontratar parte de sus servicios de transporte y así los trabajadores responsables del seguimiento vehicular deben realizar un proceso manual de captura del estado de los camiones en los diversos sistemas de monitoreo de los subcontratistas.  

Para remediar tal problema se desarrolló un sistema de monitoreo vehicular que integra los principales sistemas de monitoreo usados por la empresa a fin de reducir el tiempo dedicado a la captura del estado de los camiones en al menos un 70%. El sistema desarrollado usa tecnología de Automatización Robótica de Procesos para extraer los datos desde los sistemas de monitoreo. 

A fin de demostrar que el sistema logra el objetivo propuesto se desplegó un piloto del sistema en un servidor virtualizado. Luego de la ejecución del piloto se evidenció que el sistema reduce el tiempo dedicado a la labor en un 85.19%. Esto tiene el potencial de reducir hasta medio día de labor de un trabajador.",2022-05-10,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Hinojosa Coral, Ronald Stacy', 'Salazar Montesinos, John Elmer']","['Morales Arévalo, Juan Carlos']","['Propuesta de mejora de los procesos backOffice y core para un holding gastronómico en el Perú, 2021']","El presente trabajo analiza la problemática existente en la operación del holding gastronómico NGR S.A. perteneciente al grupo Intercorp, mediante el estudio de mejoras de procesos Core en la industria gastronómica en Lima, y de las actividades de valor que crean una ventaja competitiva en la actualidad. 

Así mismo, el proyecto tiene como meta principal presentar una propuesta de mejora en los procesos primarios del holding gastronómico, los cuales son: ventas, cobranzas e inventario. Propuesta que contribuirá en mejorar la capacidad para la toma de decisiones de la organización. 

También se pone bajo consideración implementar un modelo de integración entre los procesos BackOffice con los procesos Core del negocio (punto de venta), relacionando de forma oportuna y confiable la información generada en los procesos indicados líneas arriba. 

Para llevar a cabo esta propuesta de integración se plantea crear un proceso único y estándar para las seis unidades de negocio de comida rápida donde, la organización ha estimado un periodo máximo 12 meses y una semana el análisis, diseño, documentación e implementación del nuevo proceso propuesto. El patrocinador del proyecto está representado por el Directo de Finanzas de la compañía. 

Con la implementación de esta estrategia se resolverán los problemas de indisponibilidad de la información de venta inmediata, retrasos en las conciliaciones financieras y los cálculos erróneos durante las proyecciones de inventario.",2021-07-17,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Silvera Ortiz, Adaia Onice', 'Tello Carbajal, Karla Estephanie']",[],"['Optimización y mejora continua de los procesos de obtención de licencia de uso, tarjeta de propiedad y entrega de armas de fuego']","El proyecto tiene como objetivo realizar la optimización y mejora continua de los procesos de la “Superintendencia Nacional de Control de Servicios de Seguridad, Armas, Municiones y Explosivos de Uso Civil - SUCAMEC”, quien se encarga de “controlar, administrar, supervisar, fiscalizar, normar, sancionar las actividades en el ámbito de los servicios de seguridad privada, fabricación y comercio de armas, municiones y conexos, explosivos y productos pirotécnicos de uso civil” (SUCAMEC, 2012b)

Actualmente, los procesos de obtención de la licencia de uso, tarjeta de propiedad y entrega del arma de fuego de uso civil tienen actividades que se realizan de manera manual y, en ocasiones, de forma repetitiva, debido a que no se encuentran definidos ni documentados, lo cual genera inconsistencia de la información en el procesamiento, deficiencia y un bajo rendimiento en la productividad.

La propuesta de solución que se presenta tiene como finalidad optimizar y mejorar los procesos ya mencionados, para ello, se emplea las técnicas y buenas prácticas de Business Process Management (BPM). Al analizar la situación actual de los procesos, se llega a identificar puntos de mejora para que estos estén alienados u orientados al cumplimiento de los objetivos de la organización.

Finalmente, como parte de la Gestión del Proyecto, se menciona las áreas del conocimiento del Guía del PMBOK® que se utilizan para cumplir y elaborar un trabajo formal como el Plan de Gestión del Alcance, Cronograma, Recursos, Riesgo, Comunicaciones, Interesados y Costos.",2018-08-31,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Llerena Gutiérrez, Manuel Alfredo', 'Vargas Salazar, Ydael']","['Caldas Núñez, Jesus Manuel', 'Murga Fernandez, Raúl Jorge', 'Barrera Salazar, Juan Carlos']",['Sistema de seguridad para el monitoreo y control de eventos de transacciones críticas comerciales de una empresa de telecomunicaciones aplicando machine learning'],"En el presente proyecto, se realizó un estudio sobre la identificación de operaciones indebidas de forma predictiva y la implementación de un workflow de gestión de las incidencias. Estas últimas, identificadas por el área de seguridad y asociadas con los accesos y transacciones que realiza el usuario con acceso al sistema comercial core de una empresa de telecomunicaciones. 

Se definieron conceptos fundamentales tales como el de fraude. Además, se describieron a detalle los modelos y técnicas utilizadas, así como las principales aplicaciones que soportan el proceso de análisis predictivo. Este último, implementado y sostenido mediante el lenguaje de programación Python, se desarrolló en base al modelo de análisis probabilístico conocido como “árboles de decisión” (aprendizaje supervisado). 

Se implementó también un sistema que permite el registro y la iteración de los actores involucrados en el proceso con la finalidad de dar tratamiento a las incidencias identificadas. Este sistema incorpora flujos para un sustento de bloqueo, uno de desbloqueo y otro correspondiente a las excepciones.  

Como parte de la metodología tradicional de desarrollo de software se estableció la propuesta de solución; así como los antecedentes, tendencias, beneficios, objetivos, y conclusiones pertinentes. Finalmente, se documentaron casos de benchmarking y gestión de proyectos; además de otros casos referentes al uso, reglas y realización de un negocio.",2022-04-21,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Padilla Vega, Cindy Victoria', 'Quispe Carrión, Cesar Agusto']","['Subauste Oliden, Daniel Alejandro']",['Sistema web para la gestión y retención del talento de una empresa outsourcing de TI basado en el aprendizaje automático'],"En los últimos años, la tasa de renuncia laboral se ha incrementado en una empresa Outsourcing. Esto impacta en factores como tiempo y costo. Asimismo, como compañía que presta servicios a distintos clientes, la renuncia de un colaborador genera desconfianza en la expectativa de la calidad del servicio por parte del cliente.  Existen muchas causas principales por la que un colaborador renuncia como, por ejemplo: ausencia de crecimiento profesional, baja remuneración, incorrecto seguimiento a los colaboradores, entre otras. 

Por tal motivo, este proyecto propone un sistema web basado en aprendizaje automático que permita dar solución a esta problemática en la Gestión y Retención de Talento. Esta propuesta se realizó mediante la necesidad de primero identificar la probabilidad de renuncia de un colaborador. Luego, en caso exista un riesgo de renuncia definir estrategias en base al perfil del colaborador que permita buscar su retención. Asimismo, se busca clasificar el nivel de talento de los colaboradores y en base a estrategias ayudarlos en su crecimiento laboral dentro de la compañía. 

La solución planteada utiliza framework de desarrollo web como Spring Boot y herramienta de aprendizaje automático como Scikit-Learn que tendrá datos de entrada como: información del colaborador y de situación laboral.",2022-06-29,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Cornejo Vilca, Luis Miguel', 'Soto Alvarez, Eladio Alfredo']","['Subauste Oliden, Daniel Alejandro']",['Herramienta tecnológica para facilitar la incorporación masiva del rubro agrícola al sector microfinanciero'],"El presente proyecto tiene como objetivo realizar una propuesta para la implementación de una herramienta tecnológica que permita a una organización microfinanciera llevar a cabo una rápida evaluación crediticia haciendo uso de un modelo predictivo basado en aprendizaje automático que se encuentra desplegado previamente. El presente proyecto busca maximizar la captación de buenos pagadores del sector agrícola para hacerlos partícipes del sistema microfinanciero nacional. Para ello se utilizan herramientas tecnológicas que faciliten la evaluación del cumplimiento de pago de los clientes potenciales. Así mismo, se busca que el entregable permita incorporar una nueva cartera de clientes rentables, dejando de lado cuellos de botella operativos relacionados con la evaluación del agricultor.  

Para la realización de este proyecto se investigaron las principales variables de análisis que se toman en cuenta en países con realidades similares a las peruanas como India. Esto evidencia las características del sector agrícola en cuanto a garantías y composición de la propiedad. A partir de este punto, se pudo identificar las principales variables y consideraciones que permiten evaluar adecuadamente a un sector poco explotado.  

La solución planteada emplea herramientas como el modelo de regresión logística para la determinación del cumplimiento de pago del cliente. Así mismo, empleando datos provistos por la organización se ejecutaron pruebas de concepto que permitieron validar la solución. 

 

Finalmente, una vez realizada una prueba de concepto, se logró encapsular un modelo de aprendizaje automático que permite evaluar la capacidad de cumplimiento de los clientes que tengan solicitudes de créditos agrícolas.",2022-06-28,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Montero Calderon, Susan Marita', 'Ponce Diaz, Rafael Eduardo']","['Subauste Oliden, Daniel Alejandro']",['Sistema de monitoreo para la detección automática de placas de vehículos en Lima Metropolitana utilizando redes neuronales'],"El presente trabajo de tesis propone el diseño de un sistema que optimizará los procesos de ubicación e identificación de unidades vehiculares que hayan sido reportadas como robadas ante la Policía Nacional del Perú (PNP), o que estén infringiendo el Reglamento Nacional de Tránsito porque no cuentan con un seguro obligatorio de accidentes de tránsito (SOAT) vigente a la fecha, como también porque no tienen un Certificado de revisión técnica vigente, o que se encuentre registrado en el Servicio de Administración Tributaria (SAT) con una orden de captura.  

Para la elaboración de este trabajo se realizaron actividades de planificación del proyecto, análisis de la problemática de vehículos robados o con infracciones de tránsito en la ciudad de Lima Metropolitana y elaboración de una propuesta de solución. 

 

En las actividades de planificación del proyecto se tomaron en cuenta como base las prácticas recomendadas en la Guía PMBOK® 7ma edición, considerando los aspectos de gestión del alcance, gestión de tiempo, gestión de recursos humanos, gestión de comunicaciones y gestión de riesgos. Luego, para el análisis de la problemática, se hizo uso del marco de trabajo de Zachman, el cual permite analizar los procesos de la problemática en estudio, identificando dificultades y oportunidades de mejora a ser atendidas con la presente propuesta de solución. Para el presente estudio se ha analizado al SAT y la Policía Nacional del Perú (PNP), ambas entidades son las responsables de que se haga efectivo el cumplimiento del Reglamento Nacional de Tránsito en sus respectivas jurisdicciones. 

 

Por último, para diseñar la propuesta de solución se determinaron los drivers funcionales, drivers de atributos de calidad y drivers de restricción. Posteriormente, las decisiones de diseño se tomaron en base a los drivers mencionados y se representaron con los diagramas del modelo C4.",2022-06-28,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
"['Carrillo Onairan, Jose Luis', 'Salva Cruz, Luis Antony']","['Subauste Oliden, Daniel Alejandro']",['Solución móvil para la medición de afluencia de personas en las estaciones de transporte público utilizando la geolocalización'],"El presente proyecto tiene como objetivo diseñar una propuesta para el desarrollo de una solución móvil que permita conocer la afluencia de personas en las estaciones de la Línea Uno del Metro de Lima, dirigida a los ciudadanos que quieren evitar hacer largas colas en las estaciones, según el informe de OSITRAN el tiempo de espera es entre 30 y 50 minutos. 

Para la realización del presente proyecto, se investigaron soluciones que utilizan tecnologías GPS para la geolocalización de objetos. La solución planteada, utiliza las APIs de Google Maps y Google Places para obtener información acerca de la congestión de personas, con estos datos se realizará el análisis considerando la estación y hora de consulta para mostrar el detalle y que tan recomendable es acudir a ella. 

Finalmente, la solución móvil propuesta permitirá informar en tiempo real la afluencia de personas en las estaciones, esto será de gran utilidad para decidir si es conveniente acudir y usar el servicio o buscar otras alternativas de transporte público o privado.",2022-06-29,Universidad Peruana de Ciencias Aplicadas (UPC),['Ingeniero de sistemas']
